Date,Open,High,Low,Close,Adj Close,Volume,adj,return,,,,
4/8/2019,1.122208,1.127408,1.121554,1.121957,1.121957,0,0.891299756,,,AVERAGE,0.01%,
4/9/2019,1.125644,1.128796,1.125644,1.125644,1.125644,0,0.88838034,-0.003280834,,stdDev,0.004017979,
4/10/2019,1.126494,1.128286,1.123103,1.126697,1.126697,0,0.887550069,-0.000935027,,Ann_DEV,0.064036053,
4/11/2019,1.127612,1.128745,1.125606,1.12765,1.12765,0,0.886799982,-0.000845478,,,,
4/12/2019,1.125936,1.132503,1.125834,1.126075,1.126075,0,0.888040317,0.001397686,,,,
4/15/2019,1.130365,1.132246,1.129943,1.130506,1.130506,0,0.884559657,-0.003927185,,,,
4/16/2019,1.130442,1.1315,1.128605,1.130493,1.130493,0,0.884569829,1.14993E-05,,vol&corr,,
4/17/2019,1.128515,1.132375,1.128184,1.128503,1.128503,0,0.886129678,0.001761845,,vol stock,5.57028923,
4/18/2019,1.130071,1.1306,1.123772,1.129714,1.129714,0,0.885179789,-0.001072528,,vol rate,0.064036053,
4/19/2019,1.123608,1.125113,1.123305,1.123595,1.123595,0,0.890000401,0.005431137,,rho,-0.041293062,
4/22/2019,1.124455,1.12638,1.123671,1.124455,1.124455,0,0.889319715,-0.000765108,,,,
4/23/2019,1.125885,1.126126,1.119344,1.125898,1.125898,0,0.888179924,-0.001282466,,Interest rate,,
4/24/2019,1.122448,1.12246,1.118306,1.122435,1.122435,0,0.890920187,0.003080507,,3 Mon usd Libor,,1.44%
4/25/2019,1.115698,1.1164,1.112174,1.115349,1.115349,0,0.896580353,0.006333072,,3 Mon Euro Libor,,-0.23%
4/26/2019,1.11371,1.117281,1.112298,1.113685,1.113685,0,0.897919968,0.001493024,,,,
4/29/2019,1.114902,1.116994,1.114554,1.115026,1.115026,0,0.896840074,-0.001203386,,,,
4/30/2019,1.118418,1.122965,1.117656,1.118518,1.118518,0,0.89404015,-0.003126872,,,,
5/1/2019,1.121831,1.124999,1.121441,1.121604,1.121604,0,0.891580273,-0.002755209,,,,
5/2/2019,1.120185,1.121818,1.117356,1.120084,1.120084,0,0.892790184,0.001356121,,,,
5/3/2019,1.117256,1.120072,1.114132,1.117356,1.117356,0,0.894969911,0.002438502,,,,
5/6/2019,1.118706,1.120448,1.117993,1.118581,1.118581,0,0.893989796,-0.001095738,,,,
5/7/2019,1.120448,1.121957,1.117606,1.120185,1.120185,0,0.892709686,-0.001432932,,,,
5/8/2019,1.118956,1.1215,1.118956,1.119107,1.119107,0,0.893569605,0.000962804,,,,
5/9/2019,1.119746,1.1251,1.117568,1.119833,1.119833,0,0.892990294,-0.000648521,,,,
5/10/2019,1.121856,1.125239,1.121856,1.122208,1.122208,0,0.891100402,-0.002118606,,,,
5/13/2019,1.123671,1.126342,1.12241,1.123646,1.123646,0,0.889960005,-0.001280582,,,,
5/14/2019,1.123242,1.124606,1.120486,1.123255,1.123255,0,0.890269796,0.000348035,,,,
5/15/2019,1.12036,1.122272,1.118043,1.120448,1.120448,0,0.892500143,0.002502115,,,,
5/16/2019,1.120951,1.122435,1.117431,1.120724,1.120724,0,0.892280347,-0.0002463,,,,
5/17/2019,1.117481,1.118443,1.115735,1.117356,1.117356,0,0.894969911,0.003009725,,,,
5/20/2019,1.116532,1.117701,1.115126,1.116532,1.116532,0,0.895630398,0.000737727,,,,
5/21/2019,1.116944,1.118318,1.114243,1.116857,1.116857,0,0.895369774,-0.000291038,,,,
5/22/2019,null,null,null,null,1.116857,null,0.895369774,0,,,,
5/23/2019,1.115511,1.117281,1.110951,1.115548,1.115548,0,0.896420414,0.001172726,,,,
5/24/2019,1.118381,1.121202,1.117805,1.118456,1.118456,0,0.894089709,-0.002603399,,,,
5/27/2019,1.120636,1.121831,1.118806,1.120963,1.120963,0,0.892090105,-0.002238975,,,,
5/28/2019,1.119357,1.119946,1.117181,1.119382,1.119382,0,0.893350081,0.00141139,,,,
5/29/2019,1.117069,1.117568,1.112595,1.117069,1.117069,0,0.895199849,0.002068457,,,,
5/30/2019,1.113834,1.114604,1.111852,1.113735,1.113735,0,0.897879657,0.002989059,,,,
5/31/2019,1.112991,1.117943,1.112656,1.113115,1.113115,0,0.898379772,0.00055684,,,,
6/3/2019,1.117343,1.1211,1.116221,1.117406,1.117406,0,0.894929864,-0.003847536,,,,
6/4/2019,1.124556,1.127777,1.122776,1.124632,1.124632,0,0.889179749,-0.006445943,,,,
6/5/2019,1.125505,1.130454,1.123987,1.125404,1.125404,0,0.888569794,-0.000686211,,,,
6/6/2019,1.122725,1.130787,1.122385,1.122902,1.122902,0,0.890549665,0.002225677,,,,
6/7/2019,1.127548,1.134816,1.125315,1.12765,1.12765,0,0.886799982,-0.004219416,,,,
6/10/2019,1.1319,1.132695,1.129203,1.132016,1.132016,0,0.88337974,-0.003864293,,,,
6/11/2019,1.131836,1.133273,1.13048,1.131811,1.131811,0,0.883539743,0.000181109,,,,
6/12/2019,1.132939,1.134301,1.130851,1.132952,1.132952,0,0.882649927,-0.001007611,,,,
6/13/2019,1.129305,1.1305,1.127116,1.129561,1.129561,0,0.885299687,0.002997554,,,,
6/14/2019,1.127955,1.12905,1.121504,1.128044,1.128044,0,0.886490243,0.001343902,,,,
6/17/2019,1.121604,1.1246,1.120536,1.121705,1.121705,0,0.891499993,0.00563531,,,,
6/18/2019,1.122712,1.1244,1.11823,1.12246,1.12246,0,0.890900344,-0.000672856,,,,
6/19/2019,1.119746,1.122208,1.118869,1.119821,1.119821,0,0.892999863,0.002353854,,,,
6/20/2019,1.123583,1.131516,1.123583,1.123848,1.123848,0,0.889800044,-0.00358966,,,,
6/21/2019,1.129318,1.133337,1.128363,1.129561,1.129561,0,0.885299687,-0.005070551,,,,
6/24/2019,1.138304,1.140121,1.137385,1.138472,1.138472,0,0.878370307,-0.007857951,,,,
6/25/2019,1.140017,1.141396,1.137838,1.14003,1.14003,0,0.877169899,-0.001367565,,,,
6/26/2019,1.136855,1.138952,1.135087,1.136997,1.136997,0,0.879509796,0.002664002,,,,
6/27/2019,1.137462,1.138304,1.134842,1.137475,1.137475,0,0.879140201,-0.000420317,,,,
6/28/2019,1.137139,1.139341,1.136131,1.137294,1.137294,0,0.879280116,0.000159137,,,,
7/1/2019,1.136364,1.136751,1.130569,1.136493,1.136493,0,0.879899832,0.000704552,,,,
7/2/2019,1.128706,1.132105,1.127675,1.128745,1.128745,0,0.885939694,0.006840809,,,,
7/3/2019,1.129089,1.130531,1.12704,1.129305,1.129305,0,0.885500374,-0.000496003,,,,
7/4/2019,1.128796,1.129816,1.127434,1.128796,1.128796,0,0.885899667,0.000450821,,,,
7/5/2019,1.128605,1.128796,1.120825,1.128579,1.128579,0,0.886070005,0.000192259,,,,
7/8/2019,1.122788,1.123722,1.120838,1.122738,1.122738,0,0.890679749,0.005188974,,,,
7/9/2019,1.121479,1.122208,1.119532,1.121604,1.121604,0,0.891580273,0.001010541,,,,
7/10/2019,1.120461,1.1263,1.12026,1.120825,1.120825,0,0.892199942,0.000694782,,,,
7/11/2019,1.126126,1.128796,1.125176,1.125885,1.125885,0,0.888190179,-0.004504372,,,,
7/12/2019,1.125024,1.1278,1.123974,1.125239,1.125239,0,0.888700089,0.000573936,,,,
7/15/2019,1.12718,1.128599,1.125568,1.127205,1.127205,0,0.887150075,-0.00174566,,,,
7/16/2019,1.126088,1.126634,1.1209,1.126177,1.126177,0,0.887959886,0.000912406,,,,
7/17/2019,1.121328,1.123343,1.120109,1.121227,1.121227,0,0.891880056,0.00440509,,,,
7/18/2019,1.122776,1.124733,1.120624,1.122965,1.122965,0,0.890499704,-0.001548887,,,,
7/19/2019,1.126152,1.127142,1.121504,1.126152,1.126152,0,0.887979598,-0.002834003,,,,
7/22/2019,1.121806,1.122712,1.120838,1.121831,1.121831,0,0.891399863,0.00384434,,,,
7/23/2019,1.120498,1.121076,1.114964,1.120611,1.120611,0,0.892370323,0.0010881,,,,
7/24/2019,1.115101,1.115573,1.113003,1.115126,1.115126,0,0.896759649,0.004906669,,,,
7/25/2019,1.114231,1.118693,1.110383,1.114243,1.114243,0,0.8974703,0.000792152,,,,
7/26/2019,1.114517,1.115324,1.111568,1.114616,1.114616,0,0.897169967,-0.0003347,,,,
7/29/2019,1.11309,1.114455,1.111444,1.113214,1.113214,0,0.898299878,0.001258624,,,,
7/30/2019,1.114218,1.11581,1.113325,1.114305,1.114305,0,0.897420365,-0.000979565,,,,
7/31/2019,1.115735,1.116445,1.11278,1.115797,1.115797,0,0.89622037,-0.001338056,,,,
8/1/2019,1.107224,1.107297,1.102755,1.107175,1.107175,0,0.903199585,0.007757222,,,,
8/2/2019,1.108181,1.11142,1.107076,1.107886,1.107886,0,0.902619945,-0.000641969,,,,
8/5/2019,1.110741,1.119946,1.110741,1.110803,1.110803,0,0.900249639,-0.002629482,,,,
8/6/2019,1.124265,1.124973,1.117069,1.124379,1.124379,0,0.889379827,-0.012147706,,,,
8/7/2019,1.120586,1.124099,1.118093,1.120699,1.120699,0,0.892300252,0.003278285,,,,
8/8/2019,1.120486,1.122838,1.118443,1.120436,1.120436,0,0.892509702,0.000234703,,,,
8/9/2019,1.118731,1.121982,1.118406,1.118718,1.118718,0,0.893880317,0.001534508,,,,
8/12/2019,1.120687,1.123028,1.116333,1.12085,1.12085,0,0.892180042,-0.001903939,,,,
8/13/2019,1.121831,1.122826,1.117818,1.121831,1.121831,0,0.891399863,-0.000874846,,,,
8/14/2019,1.117756,1.1191,1.113995,1.117706,1.117706,0,0.894689659,0.003683801,,,,
8/15/2019,1.114504,1.1159,1.109558,1.11433,1.11433,0,0.897400232,0.003025043,,,,
8/16/2019,1.111136,1.111358,1.106746,1.111358,1.111358,0,0.899800064,0.002670636,,,,
8/19/2019,1.109385,1.111,1.10882,1.109385,1.109385,0,0.901400325,0.001776883,,,,
8/20/2019,1.108254,1.1099,1.106893,1.108316,1.108316,0,0.90226975,0.000964062,,,,
8/21/2019,1.109853,1.110741,1.108881,1.109779,1.109779,0,0.901080305,-0.00131915,,,,
8/22/2019,1.109041,1.1114,1.106452,1.109078,1.109078,0,0.901649839,0.000631857,,,,
8/23/2019,1.108328,1.1149,1.1053,1.108402,1.108402,0,0.902199743,0.000609701,,,,
8/26/2019,1.114305,1.11525,1.11084,1.114305,1.114305,0,0.897420365,-0.005311554,,,,
8/27/2019,1.110112,1.111852,1.108881,1.110371,1.110371,0,0.90059989,0.003536698,,,,
8/28/2019,1.109004,1.110001,1.107444,1.109004,1.109004,0,0.901710003,0.001231878,,,,
8/29/2019,1.108537,1.109016,1.10562,1.108586,1.108586,0,0.902049999,0.000376986,,,,
8/30/2019,1.105962,1.106097,1.09872,1.106195,1.106195,0,0.903999747,0.002159131,,,,
9/2/2019,1.099094,1.099747,1.095878,1.099179,1.099179,0,0.909769928,0.006362661,,,,
